Indeks produktu;Nazwa;Cena;Cena netto;Podatek;Kategoria;Opis;Adresy URL zdjęcia (x,y,z...)
11;SING 2 / familijny / od 6 lat / dubbing;27,90 zł;22,68 zł;1;Bełchatów Helios;Czas trwania: 110 min.Od lat: 6Produkcja: Francja/Japonia/USA [2021], Premiera: 21.01.2022 (Polska)<br><br>Reżyseria:<br>Garth Jennings<br><br>Gatunek: ['Komedia', 'Animacja', 'Musical']<br><br>Scenariusz:<br>Garth Jennings<br><br>Obsada:<br>Małgorzata Socha, Jarosław Boberek<br><br>Opis:<br>Miś koala - Buster Moon i gwiazdorska obsada jego teatru pragną wystąpić na olśniewającej, wspaniałej i ekstrawaganckiej scenie. Jest tylko jeden haczyk: najpierw muszą przekonać najbardziej samotną gwiazdę rocka na świecie, aby do nich dołączyła. Buster i jego ekipa zmienili teatr New Moon we wspaniałe miejsce, ale Buster chciałby, aby nowy spektakl zadebiutował na scenie teatru Crystal w olśniewającym mieście Redshore.Ale bez koneksji, Buster i jego ekipa - w tym świnka Rosita, jeżozwierzyca Ash, goryl Johnny i nieśmiała słonica Meena i oczywiście niezwyły Gunter muszą zwrócić uwagę światowej sławy agencji - Crystal Entertainment, prowadzonej przez bezwzględnego wilka – Jimmy’ego Crystala. W desperackiej próbie zwrócenia uwagi Pana Crystala, Gunter wpada na pomysł i obiecuje, że w ich nowym spektaklu wystąpi legenda rocka-lew, Clay. Oczywiście pomysł podoba się Busterowi. Problem w tym, że Clay po stracie żony od ponad dekady zamknął się z dala od świata i nikt go nie widział. Buster wyrusza na poszukiwanie lwa i przekonania go do powrotu na scenę. Marzenie Bustera o wielkim sukcesie staje się jednocześnie emocjonalnym przypomnieniem mocy muzyki, która leczy nawet najbardziej złamane serce.;https://ftmp.helios.pl/Get/file/mvpstr/22307/1639579285,https://ftmp.helios.pl/Get/file/mvpic/105584/1635959062,https://ftmp.helios.pl/Get/file/mvpic/105585/1635959083,https://ftmp.helios.pl/Get/file/mvpic/105586/1635959100,https://ftmp.helios.pl/Get/file/mvpic/105587/1635959118,https://ftmp.helios.pl/Get/file/mvpic/105588/1635959131,https://ftmp.helios.pl/Get/file/mvpic/105589/1635959149,https://ftmp.helios.pl/Get/file/mvpic/105590/1635959475,https://ftmp.helios.pl/Get/file/mvpic/105591/1635959516,https://ftmp.helios.pl/Get/file/mvpic/105592/1635959553,https://ftmp.helios.pl/Get/file/mvpic/105593/1635959664
12;FILMOWE PORANKI: 44 Koty, cz. 10;27,90 zł;22,68 zł;1;Bełchatów Helios;"-<br><br>Reżyseria:<br>-<br><br>Gatunek: -<br><br>Scenariusz:<br>-<br><br>Obsada:<br>-<br><br>Opis:<br>Zapraszamy na kolejną porcję filmowych niespodzianek w nowej odsłonie - Filmowe Poranki: 44 Koty, cz. 10, w niedzielę 16 stycznia o godz. 10:30.Zaprezentujemy zestaw bajek:Powietrzne podchody,Deszczowy dzień,Gra w kocikosza,Skarb Kotobrodego,Hipcia Mara.„44 koty” to włoski serial animowany dla najmłodszych widzów. Jest to bajka o codziennych perypetiach czterech kotów: Lampo, Milady, Pilou oraz Klopsika, którzy razem tworzą muzyczny zespół - Arcykoty. Pokazy swoich wokalnych umiejętności dają w garażu, który odwiedza ich wielu kocich przyjaciół, wraz z którymi przeżywają niebywałe przygody. Arcykoty są bardzo przyjazne, lubią pomagać innym i zawsze są gotowe do poświęceń, jest to zatem bajka, która nie tylko bawi, ale także uczy małych kinonamów.Projekcję Filmowych Poranków poprzedzają konkursy i zabawy na sali kinowej.Uczestnicy Filmowych Poranków!Każdy z Was może wziąć udział w naszej nowej zabawie: Łamigłówki HelioSówki! W ramach Łamigłówek będziemy rozwiązywać zagadki, poznawać ciekawostki i brać udział w ciekawych konkursach. Zadania, które przed nami stoją, wymagają spostrzegawczości, refleksu, sprawności, a przede wszystkim dużo dobrych chęci. Więc do dzieła!Każdy młody uczestnik Filmowych Poranków otrzymuje kartę Łamigłówki HelioSówki, a na każdym spotkaniu będzie zdobywał pieczątki za rozwiązane zagadek i udział w konkursach.  Za 8 zdobytych pieczątek czeka na Was wyjątkowa odznaka HelioSówki – potwierdzająca zdobyte umiejętności! Baw się z nami i zdobądź brązową, srebrną i złotą odznakę HelioSówki!Cykl Filmowych Poranków w Kinie Helios odbywa się w co drugą niedzielę miesiąca we wszystkich kinach ogólnopolskiej sieci kin Helios, zawsze o godzinie 10:30. Przeznaczony jest dla dzieci w wieku od 3 lat w towarzystwie opiekunów. Każde spotkanie rozpoczynają kilkunastominutowe konkursy z atrakcyjnymi nagrodami.Scenariusz wydarzenia:zabawy i konkursy z animatorem [10-15 min]projekcja - zestaw bajek lub film [50-60 min]Specyfika seansu filmowego:dźwięk ściszony w stosunku do standardowej głośnościpozostawione na cały seans przyciemnione światła na sali [półmrok]Po seansie każdy uczestnik otrzyma ""balonowy"" upominek.Zapraszamy również na kolejne Filmowe Poranki w dniu 30 stycznia o godzinie 10:30! Tym razem zaprezentujemy zestaw bajek z serii Tomek i Przyjaciele.Więcej aktualności, konkursów i relacji fotograficznych dostępnych jest na profilu FB Helios Dla Dzieci.";https://ftmp.helios.pl/Get/file/mvpstr/22996/1641394215
13;KURIER FRANCUSKI Z LIBERTY, KANSAS EVENING SUN / napisy;27,90 zł;22,68 zł;1;Bełchatów Helios;"Czas trwania: 108 min.Od lat: 15Produkcja: Niemcy/USA [2021], Premiera: 19.11.2021 (Polska)<br><br>Reżyseria:<br>Wes Anderson<br><br>Gatunek: ['Komedia', 'Romans']<br><br>Scenariusz:<br>Wes Anderson<br><br>Obsada:<br>Elisabeth Moss, Timothee Chalamet, Saoirse Ronan<br><br>Opis:<br>Film jest opisywany jako list miłosny do dziennikarzy umieszczony w placówce amerykańskiej gazety w fikcyjnym XX-wiecznym francuskim mieście, w którym powstaje zbiór opowiadań opublikowanych w tytułowym magazynie ""The French Dispatch"".";https://ftmp.helios.pl/Get/file/mvpstr/22916/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106503/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106504/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106505/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106506/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106507/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106508/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106509/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106510/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106511/1639661307,https://ftmp.helios.pl/Get/file/mvpic/106512/1639661307
14;ŚMIERĆ ZYGIELBOJMA / napisy;27,90 zł;22,68 zł;1;Bełchatów Helios;Czas trwania: 86 min.Od lat: 13Produkcja: Polska [2021], Premiera: 05.11.2021 (Polska)<br><br>Reżyseria:<br>Ryszard Brylski<br><br>Gatunek: ['Dramat', 'Biograficzny']<br><br>Scenariusz:<br>Ryszard Brylski, Wojciech Lepianka<br><br>Obsada:<br>Jack Roth, Wojciech Mecwaldowski, Karolina Gruszka<br><br>Opis:<br>Opowieść o tragicznych losach żydowskiego działacza politycznego, który 12 maja 1943 roku popełnił w Londynie samobójstwo. Jego czyn miał być protestem przeciwko bezczynności świata wobec tragedii Holocaustu. Historia opowiedziana z perspektywy młodego brytyjskiego dziennikarza, który podobnie jak większość ówczesnych ludzi zachodniego świata nie zdawał sobie sprawy ze skali dokonującej się na wschodzie ówczesnej Europy zbrodni.;https://ftmp.helios.pl/Get/file/mvpstr/22921/1639746639,https://ftmp.helios.pl/Get/file/mvpic/106537/1639746639,https://ftmp.helios.pl/Get/file/mvpic/106538/1639746639,https://ftmp.helios.pl/Get/file/mvpic/106539/1639746639,https://ftmp.helios.pl/Get/file/mvpic/106540/1639746639,https://ftmp.helios.pl/Get/file/mvpic/106541/1639746639
15;8 RZECZY, KTÓRYCH NIE WIECIE O FACETACH;27,90 zł;22,68 zł;1;Bełchatów Helios;Od lat: 15Produkcja: Polska [2022], Premiera: 28.01.2022 (Polska)<br><br>Reżyseria:<br>Sylwester Jakimow<br><br>Gatunek: ['Komedia', 'Obyczajowy']<br><br>Scenariusz:<br>Alina Puchała, Adam Musielski<br><br>Obsada:<br>Alicja Bachleda-Curuś, Maciej Zakościelny, Mikołaj Roznerski, Zbigniew Zamachowski, Piotr Głowacki, Leszek Lichota<br><br>Opis:<br>O pięć lat starsi, ale niekoniecznie dojrzalsi faceci znowu ruszają do akcji!Siła przyjaźni, chwile wzruszenia i szalone przygody uwielbianych przez widzów bohaterów. Jak potoczyły się ich losy? Co nastąpiło po przysłowiowym: „żyli długo i szczęśliwie”? W kolejnej odsłonie komedii o męskich „słabościach” Ricky walczy z twórczym kryzysem, Jarosław z atakami paniki, Filip szaleje na giełdzie, Stefan próbuje zapanować nad złością, a Kordian poskładać złamane serce. Tylko Tomek, jako jedyny z przyjaciół, nadal odważnie spełnia marzenia. I w końcu wpada przez to w kłopoty. W wir szaleństw facetów, poza znanymi z poprzedniej części Basią i Zosią, wciągnięta zostanie również zupełnie nowa bohaterka – tajemnicza Pestka.;https://ftmp.helios.pl/Get/file/mvpstr/22769/1640770185,https://ftmp.helios.pl/Get/file/mvpic/106228/1638882170,https://ftmp.helios.pl/Get/file/mvpic/106229/1638882170,https://ftmp.helios.pl/Get/file/mvpic/106230/1638882170,https://ftmp.helios.pl/Get/file/mvpic/106231/1638882170,https://ftmp.helios.pl/Get/file/mvpic/106232/1638882170,https://ftmp.helios.pl/Get/file/mvpic/106233/1638882170,https://ftmp.helios.pl/Get/file/mvpic/106234/1638882170,https://ftmp.helios.pl/Get/file/mvpic/106235/1638882170,https://ftmp.helios.pl/Get/file/mvpic/106236/1638882170
16;LOKATORKA;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 119 min.Od lat: 15Produkcja: Polska [2021], Premiera: 03.12.2021 (Polska)<br><br>Reżyseria:<br>Michał Otłowski<br><br>Gatunek: ['Dramat']<br><br>Scenariusz:<br>Jacek Matecki, Tomasz Klimala<br><br>Obsada:<br>Irena Melcer, Sławomira Łozińska, Barbara Jonak, Krzysztof Stroiński<br><br>Opis:<br>Spokój mieszkańców kamienicy na warszawskim Mokotowie burzy pojawienie się rzekomego, prawnego właściciela budynku. Stosując bezwzględne metody, mężczyzna zaczyna zmuszać kolejne rodziny do wyprowadzki. Najbardziej zdeterminowana w walce o prawo do swego mieszkania jest Janina Markowska. Kobieta nie zamierza opuścić domu, w którym jej rodzina mieszka od ponad 70 lat. Kiedy jednak obiekt pustoszeje, a Janina znika w tajemniczych okolicznościach, policja rozpoczyna dochodzenie. Prowadzi je stojąca na czele specgrupy oficer – Anna Szerucka. Kolejne poszlaki naprowadzają funkcjonariuszkę na trop intrygi, w którą zamieszani są politycy, agenci dawnych służb oraz wysoko postawieni członkowie palestry. Rozpoczyna się nierówna walka z układem, której stawką jest życie oraz prawa wyrzucanych na bruk mieszkańców.;https://ftmp.helios.pl/Get/file/mvpstr/22920/1639746585,https://ftmp.helios.pl/Get/file/mvpic/106530/1639746585,https://ftmp.helios.pl/Get/file/mvpic/106531/1639746585,https://ftmp.helios.pl/Get/file/mvpic/106532/1639746585,https://ftmp.helios.pl/Get/file/mvpic/106533/1639746585,https://ftmp.helios.pl/Get/file/mvpic/106534/1639746585,https://ftmp.helios.pl/Get/file/mvpic/106535/1639746585,https://ftmp.helios.pl/Get/file/mvpic/106536/1639746585
17;KONIEC ŚWIATA czyli KOGEL MOGEL 4;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 96 min.Od lat: 13Produkcja: Polska [2022], Premiera: 07.01.2022 (Polska)<br><br>Reżyseria:<br>Anna Wieczur-Bluszcz<br><br>Gatunek: ['Komedia']<br><br>Scenariusz:<br>Ilona Łepkowska<br><br>Obsada:<br>Nikodem Rozbicki, Aleksandra Hamkało, Maciej Zakościelny<br><br>Opis:<br>Miłość Agnieszki i Marcina rozkwita, podobnie jak Kasi i profesora Wolańskiego. Babcia Solska marzy już tylko o ślubie jedynego wnusia… Jednak na drodze do szczęścia młodego Zawady staje jego dawna kochanka, Bożenka. Wolańska postanawia radykalnie odmienić swoje życie i znika w tajemniczych okolicznościach. Spokój Piotrusia i Marlenki burzy niespodziewana wizyta mamusi zza oceanu… A pewne bardzo kompromitujące zdjęcia uruchamiają prawdziwą lawinę zdarzeń. Szykuje się prawdziwy koniec świata!;https://ftmp.helios.pl/Get/file/mvpstr/22306/1637748063,https://ftmp.helios.pl/Get/file/mvpic/105580/1635955092,https://ftmp.helios.pl/Get/file/mvpic/105581/1635955115,https://ftmp.helios.pl/Get/file/mvpic/105583/1635955158,https://ftmp.helios.pl/Get/file/mvpic/106619/1640103194,https://ftmp.helios.pl/Get/file/mvpic/106622/1640103243,https://ftmp.helios.pl/Get/file/mvpic/106623/1640103249,https://ftmp.helios.pl/Get/file/mvpic/106624/1640103256,https://ftmp.helios.pl/Get/file/mvpic/106625/1640103354,https://ftmp.helios.pl/Get/file/mvpic/106626/1640103362,https://ftmp.helios.pl/Get/file/mvpic/106627/1640103368,https://ftmp.helios.pl/Get/file/mvpic/106628/1640103381
18;KING’S MAN: Pierwsza misja / napisy;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 131 min.Od lat: 15Produkcja: Wlk. Brytania/USA [2020], Premiera: 05.01.2022 (Polska)<br><br>Reżyseria:<br>Matthew Vaughn<br><br>Gatunek: ['Komedia', 'Akcja', 'Kryminał']<br><br>Scenariusz:<br>Karl Gajdusek, Matthew Vaughn<br><br>Obsada:<br>Matthew Goode, Gemma Arterton, Aaron Taylor-Johnson<br><br>Opis:<br>Gdy najgorsi w historii tyrani i zbrodnicze umysły łączą się, by opracować plan wojny, która zniesie z powierzchni Ziemi miliony istnień, jeden człowiek musi podjąć wyścig z czasem, aby ich powstrzymać. Odkryj początki pierwszej niezależnej agencji wywiadowczej w filmie „King’s Man: Pierwsza misja”;https://ftmp.helios.pl/Get/file/mvpstr/18691/1639387922,https://ftmp.helios.pl/Get/file/mvpic/99126/1589814450,https://ftmp.helios.pl/Get/file/mvpic/99127/1589814464,https://ftmp.helios.pl/Get/file/mvpic/99128/1589814478,https://ftmp.helios.pl/Get/file/mvpic/99129/1589814491,https://ftmp.helios.pl/Get/file/mvpic/99130/1589814504,https://ftmp.helios.pl/Get/file/mvpic/99131/1589814518,https://ftmp.helios.pl/Get/file/mvpic/99132/1589814537,https://ftmp.helios.pl/Get/file/mvpic/99133/1589814553,https://ftmp.helios.pl/Get/file/mvpic/99134/1589814566,https://ftmp.helios.pl/Get/file/mvpic/99135/1589814583
19;CLIFFORD. Wielki czerwony pies / familijny / od 6 lat / dubbing;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 96 min.Od lat: 6Produkcja: USA/Kanada/Wlk. Brytania [2021], Premiera: 03.12.2021 (Polska)<br><br>Reżyseria:<br>Walt Becker<br><br>Gatunek: ['Komedia', 'Przygodowy', 'Familijny']<br><br>Scenariusz:<br>David Ronn, Jay Scherick, Blaise Hemingway<br><br>Obsada:<br>Darby Camp, Jack Whitehall, Izaac Wang<br><br>Opis:<br>Ośmioletnia dziewczynka, Emily Elizabeth marzy o tym, aby jej maleńki, czerwony szczeniak urósł i był silny, nie spodziewa się jednak, że budząc się pewnego ranka znajdzie wielkiego psa w swoim małym mieszkaniu w Nowym Jorku. Emily za wszelką cenę chce, aby ukochany zwierzak został z nią. Postanawia znaleźć czarodzieja, który, przywróci Clifforda do normalnego rozmiaru. Na poszukiwania udaje się ze swoim wujem Caseyem i szkolnym kolegą Owenem. Clifford wzbudza powszechne zaciekawienie. Przyciąga również uwagę złego naukowca, który chce aby Clifford został jego psem.;https://ftmp.helios.pl/Get/file/mvpstr/21353/1636111146,https://ftmp.helios.pl/Get/file/mvpic/103873/1629798230,https://ftmp.helios.pl/Get/file/mvpic/103874/1629798267,https://ftmp.helios.pl/Get/file/mvpic/103875/1629798288,https://ftmp.helios.pl/Get/file/mvpic/103876/1629798305,https://ftmp.helios.pl/Get/file/mvpic/103877/1629798320,https://ftmp.helios.pl/Get/file/mvpic/103878/1629798341,https://ftmp.helios.pl/Get/file/mvpic/103880/1629798403
20;LICORICE PIZZA / napisy;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 133 min.Od lat: 15Produkcja: USA [2021], Premiera: 31.12.2021 (Polska)<br><br>Reżyseria:<br>Paul Thomas Anderson<br><br>Gatunek: ['Obyczajowy']<br><br>Scenariusz:<br>Paul Thomas Anderson<br><br>Obsada:<br>Alana Haim, Cooper Hoffman, Bradley Cooper, Sean Penn, Tom Waits, John C. Reilly, Maya Rudolph<br><br>Opis:<br>„Licorice Pizza” to najnowszy film wybitnego Paula Thomasa Andersona, reżysera takich produkcji jak „Nić widmo”, „Boogie Nights” czy „Mistrz”. Historia toczy się na początku lat siedemdziesiątych w dobie wolności, eklektycznej mody i rewolucyjnej muzyki. Ukazane z ogromną czułością i sentymentem do epoki, szczenięce zauroczenie dorastających w Los Angeles Alany i Gary’ego rozwija się na tle powstawania pierwszych filmowych mega produkcji w Fabryce Snów i wielkich przemian kulturowych czasu wolnej miłości. Oprócz debiutujących Alany Haim i Coopera Hoffmana (syna nieodżałowanego Philipa Seymoura Hoffmana) w filmie występują również: Bradley Cooper, Sean Penn, Tom Waits, John C. Reilly, Maya Rudolph i inni.;https://ftmp.helios.pl/Get/file/mvpstr/22775/1639064711,https://ftmp.helios.pl/Get/file/mvpic/106282/1639063159,https://ftmp.helios.pl/Get/file/mvpic/106286/1639063255,https://ftmp.helios.pl/Get/file/mvpic/106287/1639063344,https://ftmp.helios.pl/Get/file/mvpic/106288/1639063507,https://ftmp.helios.pl/Get/file/mvpic/106289/1639063914,https://ftmp.helios.pl/Get/file/mvpic/106290/1639063764,https://ftmp.helios.pl/Get/file/mvpic/106291/1639063784,https://ftmp.helios.pl/Get/file/mvpic/106292/1639063801,https://ftmp.helios.pl/Get/file/mvpic/106293/1639063818,https://ftmp.helios.pl/Get/file/mvpic/106713/1640770470
21;MATRIX Zmartwychwstania / napisy;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 148 min.Od lat: 15Produkcja: USA [2021], Premiera: 22.12.2021 (Polska)<br><br>Reżyseria:<br>Lana Wachowski<br><br>Gatunek: ['Science-Fiction', 'Akcja']<br><br>Scenariusz:<br>Aleksandar Hemon, David Mitchell, Lana Wachowski<br><br>Obsada:<br>Keanu Reeves, Jonathan Groff, Carrie-Anne Moss<br><br>Opis:<br>Matrix Zmartwychwstania, długo wyczekiwana czwarta odsłona przełomowej serii filmów, które zrewolucjonizowały swój gatunek. W nowym obrazie powracają aktorzy z poprzednich części - Keanu Reeves i Carrie-Anne Moss - w rolach słynnych postaci Neo i Trinity.;https://ftmp.helios.pl/Get/file/mvpstr/21639/1638283496,https://ftmp.helios.pl/Get/file/mvpic/104427/1632150489,https://ftmp.helios.pl/Get/file/mvpic/104428/1632150503,https://ftmp.helios.pl/Get/file/mvpic/104429/1632150532,https://ftmp.helios.pl/Get/file/mvpic/104430/1632151124,https://ftmp.helios.pl/Get/file/mvpic/104431/1632150580,https://ftmp.helios.pl/Get/file/mvpic/104432/1632150645,https://ftmp.helios.pl/Get/file/mvpic/104433/1632151145,https://ftmp.helios.pl/Get/file/mvpic/106249/1639055911,https://ftmp.helios.pl/Get/file/mvpic/106250/1639055922,https://ftmp.helios.pl/Get/file/mvpic/106251/1639055945,https://ftmp.helios.pl/Get/file/mvpic/106252/1639055955
22;SPIDER-MAN. Bez drogi do domu / familijny / od 10 lat / dubbing;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 148 min.Od lat: 10Produkcja: USA [2021], Premiera: 17.12.2021 (Polska)<br><br>Reżyseria:<br>Jon Watts<br><br>Gatunek: ['Akcja', 'Fantasy', 'Przygodowy']<br><br>Scenariusz:<br>Chris McKenna, Erik Sommers<br><br>Obsada:<br>Tom Holland, Zendaya, Benedict Cumberbatch<br><br>Opis:<br>Po raz pierwszy w kinowej historii Spider-Mana nasz bohater zostaje zdemaskowany i nie jest już w stanie oddzielić swojego normalnego życia od bycia superbohaterem. Kiedy prosi o pomoc Doktora Strange'a, stawka staje się jeszcze bardziej niebezpieczna, zmuszając go do odkrycia, co to naprawdę znaczy być Spider-Manem.;https://ftmp.helios.pl/Get/file/mvpstr/21351/1637144124,https://ftmp.helios.pl/Get/file/mvpic/103863/1629795927,https://ftmp.helios.pl/Get/file/mvpic/103864/1629795927,https://ftmp.helios.pl/Get/file/mvpic/103865/1629795927,https://ftmp.helios.pl/Get/file/mvpic/106280/1639056774,https://ftmp.helios.pl/Get/file/mvpic/106281/1639056788
23;SPIDER-MAN. Bez drogi do domu / familijny / od 10 lat / napisy;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 148 min.Od lat: 10Produkcja: USA [2021], Premiera: 17.12.2021 (Polska)<br><br>Reżyseria:<br>Jon Watts<br><br>Gatunek: ['Akcja', 'Fantasy', 'Przygodowy']<br><br>Scenariusz:<br>Chris McKenna, Erik Sommers<br><br>Obsada:<br>Tom Holland, Zendaya, Benedict Cumberbatch<br><br>Opis:<br>Po raz pierwszy w kinowej historii Spider-Mana nasz bohater zostaje zdemaskowany i nie jest już w stanie oddzielić swojego normalnego życia od bycia superbohaterem. Kiedy prosi o pomoc Doktora Strange'a, stawka staje się jeszcze bardziej niebezpieczna, zmuszając go do odkrycia, co to naprawdę znaczy być Spider-Manem.;https://ftmp.helios.pl/Get/file/mvpstr/21350/1637144087,https://ftmp.helios.pl/Get/file/mvpic/103860/1629795759,https://ftmp.helios.pl/Get/file/mvpic/103861/1629795777,https://ftmp.helios.pl/Get/file/mvpic/103862/1629795802,https://ftmp.helios.pl/Get/file/mvpic/106278/1639056734,https://ftmp.helios.pl/Get/file/mvpic/106279/1639056755
24;W 80 DNI DOOKOŁA ŚWIATA / familijny / od 5 lat / dubbing;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 83 min.Od lat: 5Produkcja: Francja/Belgia [2021], Premiera: 25.12.2021 (Polska)<br><br>Reżyseria:<br>Samuel Tourneux<br><br>Gatunek: ['Komedia', 'Animacja', 'Przygodowy']<br><br>Scenariusz:<br>Gerry Swallow<br><br>Obsada:<br>-<br><br>Opis:<br>Obieżyświat to sympatyczny nastoletni małpiszon, który marzy o wielkich przygodach i dalekich podróżach. Na co dzień jednak słucha się mamy, chodzi do szkoły i generalnie wiedzie raczej spokojne życie. Wszystko odmieni jednak spotkanie z nieco postrzeloną żabą o imieniu Phileas, która zaproponuje Obieżyświatowi udział w szalonym zakładzie: jeśli uda im się objechać świat w 80 dni, zgarną pokaźną nagrodę i zyskają sławę. Mimo sprzeciwu mamy i zaskoczeniu przyjaciół młody małpiszon wyrusza wraz z Phileasem w pełną wyzwań i niebezpieczeństw podróż przez świat, którego wcale nie zna. Czeka go spotkanie z dzikimi plemionami, niezwykłymi zwierzętami, niesłychanymi cudami natury oraz mnóstwo zabawnych i zaskakujących zwrotów akcji. Przede wszystkim będzie to jednak wielka próba odwagi i przyjaźni obu podróżników. Szczególnie, że ich tropem podąża ktoś, kto pragnie pokrzyżować im szyki.;https://ftmp.helios.pl/Get/file/mvpstr/22308/1635960251,https://ftmp.helios.pl/Get/file/mvpic/105594/1635960845,https://ftmp.helios.pl/Get/file/mvpic/105595/1635960879,https://ftmp.helios.pl/Get/file/mvpic/105596/1635960909,https://ftmp.helios.pl/Get/file/mvpic/105597/1635960941,https://ftmp.helios.pl/Get/file/mvpic/105598/1635960967,https://ftmp.helios.pl/Get/file/mvpic/105599/1635960991,https://ftmp.helios.pl/Get/file/mvpic/105600/1635961014,https://ftmp.helios.pl/Get/file/mvpic/105601/1635961037,https://ftmp.helios.pl/Get/file/mvpic/105602/1635961055,https://ftmp.helios.pl/Get/file/mvpic/105603/1635961098,https://ftmp.helios.pl/Get/file/mvpic/105604/1635961121
25;O CZYM DZISIAJ MARZĄ ZWIERZĘTA / familijny / od 6 lat / dubbing;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 86 min.Od lat: 6Produkcja: Australia [2022], Premiera: 14.01.2022 (Polska)<br><br>Reżyseria:<br>Ricard Cusso<br><br>Gatunek: ['Animacja']<br><br>Scenariusz:<br>Matthew James Kinmonth<br><br>Obsada:<br>Deborah Mailman, Ed Oxenbould, Frank Woodley<br><br>Opis:<br>Maggie jest pomysłowym wombatem, a Bradley to miłość jej życia i najlepszy przyjaciel, który zaginął jakiś czas temu w tajemniczych okolicznościach. Zaniepokojona, ale i pełna nadziei Maggie nie ustaje w poszukiwaniach ukochanego. Pewnego dnia natyka na nietypową sytuację i przypadkiem ratuje z opresji innego futrzaka – niepozornego Ptysia. Tak zaczyna się ich przyjaźń oraz nieoczekiwana kariera Maggie jako superbohaterki, która - nie do końca wierząc w swoje możliwości – początkowo niezbyt chętnie zamienia piżamę na kostium, zakłada maskę i rusza w miasto. Na swojej drodze spotka Supernielota, który również patroluje ulice wypatrując złoczyńców oraz podejrzanie przemiłą koalę dbającą o kariery superbohaterów. Dzięki nowej roli, Maggie wpada także na trop prowadzący do rozwiązania zagadki zaginięcia jej ukochanego oraz ratuje z opresji wiele zwierzaków będących w potrzebie. Najwyższy czas, aby przekonać się, że prawdziwi bohaterowie to nie ich kostiumy ani maski, tylko odwaga, wiara w siebie i dobre serce – a tego wszystkiego Maggie ma pod dostatkiem!;https://ftmp.helios.pl/Get/file/mvpstr/22894/1639473665,https://ftmp.helios.pl/Get/file/mvpic/106350/1639481212,https://ftmp.helios.pl/Get/file/mvpic/106351/1639481130,https://ftmp.helios.pl/Get/file/mvpic/106352/1639481151,https://ftmp.helios.pl/Get/file/mvpic/106353/1639481166,https://ftmp.helios.pl/Get/file/mvpic/106354/1639481182,https://ftmp.helios.pl/Get/file/mvpic/106355/1639481225,https://ftmp.helios.pl/Get/file/mvpic/106356/1639481244,https://ftmp.helios.pl/Get/file/mvpic/106357/1639481266
26;355 / napisy;27,90 zł;22,68 zł;1;Białystok Helios Alfa;Czas trwania: 123 min.Od lat: 15Produkcja: USA [2022], Premiera: 14.01.2022 (Polska)<br><br>Reżyseria:<br>Simon Kinberg<br><br>Gatunek: ['Thriller', 'Akcja']<br><br>Scenariusz:<br>Theresa Rebeck<br><br>Obsada:<br>Sebastian Stan, Jessica Chastain, Penelope Cruz<br><br>Opis:<br>Największe agencje wywiadowcze z różnych stron świata wpadają na trop międzynarodowej organizacji przestępczej, która planuje globalny atak zagrażający bezpieczeństwu ludzkości. Jest oczywiste, że żaden nawet amerykański wywiad w pojedynkę nie ma szans w konfrontacji z nowym zagrożeniem. Do życia powołana zostaje więc międzynarodowa ściśle tajna super grupa pod kryptonimem 355, w skład której wchodzą najlepsze agentki z nierzadko wrogich sobie wywiadów. Grupa indywidualności o niezwykłych zdolnościach i umiejętnościach musi pokonać dzielące je różnice i stanąć do walki o bezpieczeństwo świata.;https://ftmp.helios.pl/Get/file/mvpstr/22579/1639397798,https://ftmp.helios.pl/Get/file/mvpic/106663/1640172267,https://ftmp.helios.pl/Get/file/mvpic/106664/1640172303,https://ftmp.helios.pl/Get/file/mvpic/106665/1640172318,https://ftmp.helios.pl/Get/file/mvpic/106666/1640172329,https://ftmp.helios.pl/Get/file/mvpic/106667/1640172350,https://ftmp.helios.pl/Get/file/mvpic/106668/1640172363,https://ftmp.helios.pl/Get/file/mvpic/106669/1640172380,https://ftmp.helios.pl/Get/file/mvpic/106670/1640172411,https://ftmp.helios.pl/Get/file/mvpic/106671/1640172440,https://ftmp.helios.pl/Get/file/mvpic/106672/1640172492
